Date,Day,Wom,Month,Year,Offered,Adj-off
2-Nov-14,Sunday,1,Nov,2014,139,139
3-Nov-14,Monday,1,Nov,2014,327,327
4-Nov-14,Tuesday,1,Nov,2014,329,329
5-Nov-14,Wednesday,1,Nov,2014,363,363
6-Nov-14,Thursday,1,Nov,2014,573,573
7-Nov-14,Friday,1,Nov,2014,441,441
8-Nov-14,Saturday,2,Nov,2014,248,248
9-Nov-14,Sunday,2,Nov,2014,195,195
10-Nov-14,Monday,2,Nov,2014,488,488
11-Nov-14,Tuesday,2,Nov,2014,452,452
12-Nov-14,Wednesday,2,Nov,2014,451,451
13-Nov-14,Thursday,2,Nov,2014,548,548
14-Nov-14,Friday,2,Nov,2014,463,463
15-Nov-14,Saturday,3,Nov,2014,258,258
16-Nov-14,Sunday,3,Nov,2014,208,208
17-Nov-14,Monday,3,Nov,2014,473,473
18-Nov-14,Tuesday,3,Nov,2014,488,488
19-Nov-14,Wednesday,3,Nov,2014,498,498
20-Nov-14,Thursday,3,Nov,2014,605,605
21-Nov-14,Friday,3,Nov,2014,447,447
22-Nov-14,Saturday,4,Nov,2014,261,261
23-Nov-14,Sunday,4,Nov,2014,194,194
24-Nov-14,Monday,4,Nov,2014,489,489
25-Nov-14,Tuesday,4,Nov,2014,481,481
26-Nov-14,Wednesday,4,Nov,2014,629,629
27-Nov-14,Thursday,4,Nov,2014,473,473
28-Nov-14,Friday,4,Nov,2014,1137,444
29-Nov-14,Saturday,5,Nov,2014,578,253
30-Nov-14,Sunday,5,Nov,2014,580,195
1-Dec-14,Monday,1,Dec,2014,1457,481
2-Dec-14,Tuesday,1,Dec,2014,810,467
3-Dec-14,Wednesday,1,Dec,2014,678,475
4-Dec-14,Thursday,1,Dec,2014,799,561
5-Dec-14,Friday,1,Dec,2014,735,455
6-Dec-14,Saturday,1,Dec,2014,395,260
7-Dec-14,Sunday,1,Dec,2014,265,265
8-Dec-14,Monday,2,Dec,2014,728,489
9-Dec-14,Tuesday,2,Dec,2014,692,485
10-Dec-14,Wednesday,2,Dec,2014,718,564
11-Dec-14,Thursday,2,Dec,2014,756,756
12-Dec-14,Friday,2,Dec,2014,625,625
13-Dec-14,Saturday,2,Dec,2014,333,333
14-Dec-14,Sunday,2,Dec,2014,274,274
15-Dec-14,Monday,3,Dec,2014,643,643
